nsq,new_peak,power,duration
0.66,0.032680209836676744,0.32025528958775595,0.4876537533292442
0.67,0.03152909289984418,0.31910417265092345,0.4901538860518779
0.68,0.030391679736069266,0.31796675948714836,0.4926148015199248
0.69,0.029267727083108097,0.3168428068341873,0.4950373781735152
0.7,0.028156997402534634,0.31573207715361384,0.49742246456347555
0.71,0.027059258712377243,0.31463433846345656,0.49977088077610254
0.72,0.025974284425593908,0.3135493641766732,0.5020834197702733
0.73,0.02490185319414917,0.3124769329452283,0.5043608486334547
0.74,0.023845274577452447,0.31142035432853155,0.5066730920148254
0.75,0.022809461745128656,0.3103845414962078,0.5091380704131355
0.76,0.021784317397032904,0.30935939714811206,0.511571325363788
0.77,0.020769677555531496,0.30834475730661076,0.5139734764519607
0.78,0.019765381586371866,0.307340461337451,0.5163451243582103
0.79,0.018771272113902393,0.3063463518649817,0.5186868516724568
0.8,0.01778719493886216,0.3053622746899413,0.5209992236627125
0.81,0.016812998958640968,0.30438807870972007,0.5232827890016413
0.82,0.015848536089939413,0.30342361584101857,0.5255380804537121
0.83,0.014893661193723817,0.302468740944803,0.5277656155256399
0.84,0.013948232002416683,0.30152331175349584,0.5299658970824094
0.85,0.013012109049234555,0.3005871888003139,0.5321394139311552
0.86,0.012085155599600883,0.29966023535068004,0.5342866413749503
0.87,0.011167237584566614,0.29874231733564593,0.536408041738348
0.88,0.010258223536169009,0.2978333032872483,0.5385040648664795
0.89,0.009357984524657859,0.296933064275737,0.5405751485993212
0.9,0.008466394097536911,0.2960414738486162,0.5426217192226115
0.91,0.007583328220349239,0.2951584079714285,0.5446441918968683
0.92,0.006708665219155696,0.29428374497023485,0.5466429710657563
0.93,0.005842285724645624,0.29341736547572483,0.5486184508450586
0.94,0.004984072617830515,0.29255915236890984,0.5505710153933523
0.95,0.004133910977262234,0.29170899072834133,0.5525010392654623
0.96,0.0032916880277349403,0.29086676777881426,0.5544088877496296
0.97,0.002457293090412982,0.2900323728414923,0.5562949171893796
0.98,0.0016309988636926676,0.28920607861477193,0.5582892679877729
0.99,0.0008124297978495676,0.2883875095489287,0.5606050301246669
1.0,2.220446049250313e-16,0.2875750797510794,0.5629021727530109
